nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
94.98160475,59.01428613,54.63987884,30.98658484,73.12037281,5.733991781,205.8083612,Rice
114.6470458,52.02230023,54.16145156,25.20584494,89.39819704,6.748663961,221.2339111,Rice
87.27299869,43.6680902,46.08484486,30.24756432,78.63890037,5.93684371,261.1852895,Rice
85.57975443,45.84289297,47.32723687,29.56069984,85.70351923,5.799510673,251.4234438,Rice
103.6965828,40.92900825,52.15089704,26.70524124,71.30103186,6.923328306,296.5632033,Rice
112.3358939,46.09227538,41.95344228,31.84233027,78.80304987,5.683057352,249.517691,Rice
81.37554084,58.18640804,45.17559963,31.62522284,76.23422152,6.280102032,254.6710279,Rice
87.39417822,59.39169256,55.50265647,34.39498942,87.89654701,6.396849968,292.1874235,Rice
83.53970008,43.91965725,40.90454578,28.25330331,77.77354579,5.907023548,282.8737509,Rice
94.27013307,45.61869019,50.85392166,26.40924225,86.04393962,5.611825966,298.6886937,Rice
110.8897908,43.97431363,40.11044234,33.15461428,84.13714688,6.593510752,277.1270347,Rice
82.96178607,47.16931457,42.31738119,33.63103426,82.46596254,5.996347037,206.355835,Rice
92.43929287,46.50366644,54.59212357,31.37557471,87.74425485,6.208322388,211.9594246,Rice
108.5297915,55.21570097,51.22554395,32.7096718,79.87591193,6.284099244,242.7541018,Rice
81.01676507,42.15782854,40.62858371,31.36410411,76.28711962,6.262856037,290.7566474,Rice
89.97168917,48.20765846,55.11102277,27.28798165,71.5395982,5.934627179,216.1221287,Rice
117.1879061,56.16240759,52.66807513,33.7146059,86.07344154,5.779855088,289.2558998,Rice
101.5736897,56.1488031,57.921826,28.18003475,72.20103849,5.841902744,242.7107789,Rice
112.7205906,57.21461167,40.13904261,30.10747303,78.34822006,5.833161716,211.9865367,Rice
93.50460686,58.85819408,46.46405864,30.18790622,84.06037918,6.045444404,297.1782083,Rice
118.4978918,45.03564592,49.94497012,28.0087831,75.69680989,5.555330421,260.9564334,Rice
100.1071609,41.02957502,45.57292928,34.08265886,74.79123781,5.717342308,248.945276,Rice
119.4260182,44.84110543,53.44271095,32.61619615,74.75275088,6.592324523,236.7783133,Rice
105.2922332,52.67059422,50.71549368,25.9028977,86.70604991,5.981170097,218.651851,Rice
81.63100566,51.81785886,53.55128724,25.16587829,80.24186117,5.839743663,264.517279,Rice
86.97465716,53.81875476,47.73470693,34.36729989,72.75041888,6.011599527,211.3473521,Rice
116.9877447,57.54678707,45.15883255,31.59984046,86.344444,6.332801217,252.9650578,Rice
89.67409164,41.86205536,57.94431516,34.00418057,82.66202915,6.008544687,234.9209575,Rice
109.0382272,57.9422052,57.74172849,32.79875546,82.84063292,5.626209947,216.1628714,Rice
115.9421675,52.12858119,40.18394103,26.01471543,83.27003538,5.507592376,216.0808051,Rice
101.9493516,53.83790395,53.03922519,27.24269309,84.24358443,5.855873631,232.5399698,Rice
109.8596562,52.99265798,56.98446821,31.57612892,81.36617207,5.640512152,236.7715803,Rice
90.60809471,44.87979287,59.4602111,28.93097725,87.8409311,6.446707939,279.4811304,Rice
